fam,x,y,z
1_16_12,643437.784,3408782.222,66.019
1_12_7,643454.833,3408776.512,63.147
1_12_10,643460.502,3408774.864,61.743
1_12_12,643472.345,3408772.150,61.728
1_8_1,643483.326,3408769.104,60.721
1_8_8,643495.423,3408766.617,63.447
1_8_15,643500.453,3408764.769,65.386
1_8_2,643506.534,3408763.477,64.743
1_4_12,643517.623,3408759.636,67.551
1_4_16,643523.103,3408757.730,68.098
1_4_3,643528.971,3408755.574,66.850
1_4_2,643535.744,3408757.740,64.080
1_4_18,643521.648,3408751.357,65.955
1_4_8,643527.544,3408749.521,65.899
1_4_14,643525.834,3408743.081,64.287
1_4_19,643519.369,3408744.303,65.788
1_4_10,643513.372,3408746.457,65.704
1_4_9,643509.095,3408747.198,65.210
1_8_11,643504.804,3408756.175,65.121
1_8_16,643493.017,3408759.465,62.849
1_12_13,643468.734,3408766.291,57.745
1_12_16,643464.652,3408766.843,57.714
1_12_8,643458.345,3408768.195,61.229
1_12_19,643452.811,3408769.366,61.341
1_16_2,643435.903,3408774.151,62.974
1_16_5,643429.522,3408776.237,60.658
1_16_19,643424.678,3408778.598,60.174
1_8_6,643479.026,3408754.808,59.775
1_12_14,643473.800,3408756.941,59.852
1_12_9,643467.386,3408759.122,58.067
1_12_4,643461.664,3408759.971,57.301
1_12_11,643456.605,3408761.595,56.968
1_16_11,643432.908,3408767.822,55.210
1_16_14,643427.370,3408769.280,58.782
1_16_18,643422.266,3408771.830,59.081
1_20_16,643416.064,3408772.545,59.960
1_20_17,643410.515,3408774.833,59.936
1_20_3,643404.988,3408777.887,58.037
1_20_14,643402.211,3408769.613,54.941
1_20_5,643408.812,3408767.850,56.014
1_20_20,643414.506,3408766.713,57.382
1_16_1,643419.544,3408764.291,57.506
1_16_10,643427.014,3408762.316,55.126
1_12_5,643459.796,3408753.337,56.294
1_12_1,643465.842,3408752.269,60.234
1_8_14,643477.439,3408748.785,61.899
1_8_12,643483.237,3408747.075,62.297
1_8_9,643489.094,3408745.749,63.548
1_4_6,643512.119,3408739.417,66.537
1_4_13,643517.214,3408737.474,64.145
1_4_1,643521.980,3408736.197,65.488
2_13_19,643440.634,3408751.484,52.273
2_13_15,643434.840,3408752.939,51.215
